,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
0,https://freeworldnews.tv/,2020ElectionCenter.com,right conspiracy- pseudoscience,very low,usa,mostly free,website,medium traffic,low credibility
1,https://21stcenturywire.com/,21st Century Wire,right,mixed,usa,mostly free,website,medium traffic,low credibility
2,https://79days.news/,79Days.News,right conspiracy-pseudoscience,very low,usa,mostly free,website,high traffic,low credibility
3,https://369news.net/,369News,not rated,mixed,unknown,,website,minimal traffic,low credibility
4,https://911truth.org/,911Truth.org,right,low,usa,mostly free,website,minimal traffic,low credibility
5,http://www.abovetopsecret.com/,Above Top Secret,right,low,usa,mostly free,website,medium traffic,low credibility
6,https://www.acallforanuprising.com/,A Call for an Uprising,right-conspiracy,low,usa,mostly free,website,medium traffic,low credibility
7,https://latitudes.org/,ACN Latitudes,conspiracy-pseudoscience,mixed,usa,mostly free,organization/foundation,minimal traffic,low credibility
8,https://www.activistpost.com/,Activist Post,left,low,unknown,,website,medium traffic,low credibility
9,https://www.additudemag.com/,ADDitude Magazine,pseudoscience,mixed,usa,mostly free,magazine,medium traffic,low credibility
10,https://www.ageofautism.com,Age of Autism,right pseudoscience,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
11,https://allianceforadvancedhealth.com,Alliance for Advanced Health,conspiracy-pseudoscience,mixed,usa,mostly free,website,minimal traffic,low credibility
12,https://anh-usa.org,Alliance for Natural Health (ANH-USA),conspiracy-pseudoscience,mixed,usa,mostly free,organization/foundation,minimal traffic,low credibility
13,https://altermedzentrum.com/,Altermed Zentrum,conspiracy- pseudoscience,very low,unknown,,website,minimal traffic,low credibility
14,https://www.thealternativedaily.com/,Alternative Daily,pseudoscience,low,usa,,website,medium traffic,low credibility
15,https://www.amtvmedia.com/,Alternative Media Television (AMTV),right,low,usa,mostly free,website,minimal traffic,low credibility
16,https://alternativenews.com/,AlternativeNews.com,right conspiracy-pseudoscience,low,usa,mostly free,website,minimal traffic,low credibility
17,https://althealthworks.com/,AltHealth Works,conspiracy-pseudoscience,low,usa,mostly free,website,minimal traffic,low credibility
18,https://altleft.news/,AltLeft.news,right-conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
19,https://americandigitalnews.com,American Digital News,conspiracy-pseudoscience,mixed,usa,mostly free,website,minimal traffic,low credibility
20,https://americanfreepress.net/,American Free Press,right conspiracy-pseudoscience,low,usa,mostly free,website,minimal traffic,low credibility
21,https://aim4truth.org,American Intelligence Media,extreme right,very low,usa,mostly free,website station,minimal traffic,low credibility
22,https://amg-news.com/,American Media Group – AMG-News,right-conspiracy-pseudoscience,very low,romania,mostly free,website,medium traffic,low credibility
23,https://americanpolicy.org/,American Policy Center,right conspiracy,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
24,https://www.americasfrontlinedoctors.com/,America’s Frontline Doctors,pseudoscience right biased,low,usa,,website,medium traffic,low credibility
25,https://www.ancient-code.com,Ancient Code,conspiracy-pseudoscience,mixed,unknown,,website,minimal traffic,low credibility
26,https://www.ancient-origins.net,Ancient Origins,conspiracy-pseudoscience,mixed,ireland,excellent,website,medium traffic,low credibility
27,https://anewspost.com/,Anewspost.com,conspiracy,mixed,usa,mostly free,website,minimal traffic,low credibility
28,https://answersingenesis.org/,Answers in Genesis,right-pseudoscience,low,usa,mostly free,organization/foundation,medium traffic,low credibility
29,https://anyavien.com/,Anya Vien,pseudoscience,very low,usa,mostly free,website,minimal traffic,low credibility
30,https://www.apost.com/,Apost.com,pseudoscience,mixed,germany (13/180 press freedom),,website,medium traffic,low credibility
31,https://www.ae911truth.org,Architects & Engineers for 9/11 Truth,conspiracy,mixed,usa,mostly free,organization/foundation,minimal traffic,low credibility
32,https://www.asia-pacificresearch.com/,Asia-Pacific Research,conspiracy-pseudoscience,mixed,canada,,website,minimal traffic,low credibility
33,http://askingangels.com/,AskingAngels.com,right,very low,australia,mostly free,website,minimal traffic,low credibility
34,http://assassinationscience.com/,Assassination Science,conspiracy,low,usa (44/180 press freedom),,website,minimal traffic,low credibility
35,https://australiannationalreview.com/,Australian National Review,right conspiracy,low,australia,mostly free,website,minimal traffic,low credibility
36,https://www.autismspeaks.org/,Autism Speaks,conspiracy-pseudoscience,mostly factual,usa,mostly free,organization/foundation,medium traffic,low credibility
37,http://awarenessact.com/,Awareness Act,conspiracy-pseudoscience,low,usa,mostly free,website,medium traffic,low credibility
38,https://banned.video/,Banned.Video,right conspiracy- pseudoscience,very low,usa,,website,medium traffic,low credibility
39,https://beholdisrael.org/,Behold Israel,right conspiracy-pseudoscience,mixed,israel,moderate freedom,website,minimal traffic,low credibility
40,https://bestnewshere.com/,Best News Here,right conspiracy-pseudoscience,very low,macedonia,moderate freedom,website,medium traffic,low credibility
41,https://biggovernment.news/index.html,Big Government News,right conspiracy-pseudoscience,very low,usa,mostly free,website,minimal traffic,low credibility
42,https://biodefense.com/,BioDefense,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
43,https://biologos.org/,Biologos Foundation,pseudoscience,mixed,usa,mostly free,organization/foundation,medium traffic,low credibility
44,http://www.biotechexpressmag.com/,Biotech Express Magazine,right conspiracy – pseudoscience,low,india,minimal freedom,magazine,minimal traffic,low credibility
45,https://www.blacklistednews.com/,Blacklisted News,conspiracy-pseudoscience,mixed,usa,mostly free,website,medium traffic,low credibility
46,https://www.blckbx.tv/,Blckbx.tv,right conspiracy-pseudoscience,very low,netherlands,,website,medium traffic,low credibility
47,https://bonsens.info/,BonSens,right conspiracy-pseudoscience,low,france,mostly free,organization/foundation,medium traffic,low credibility
48,https://brandnewtube.com/,Brand New Tube,right conspiracy-pseudoscience,very low,united kingdom,mostly free,website/video service,high traffic,low credibility
49,https://www.brighteon.com/,Brighteon,far right conspiracy-pseusdoscience,very-low,usa,mostly free,website,high traffic,low credibility
50,https://brightside.me/,BrightSide,pseudoscience,mixed,cyprus,mostly free,website,high traffic,low credibility
51,https://bugout.news/#,Bugout.news,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
52,https://campusinsanity.com/,CampusInsanity.com,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
53,https://cancer.news/,Cancer.news,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
54,https://www.catholic.org/,Catholic Online,right conspiracy-pseudoscience,mixed,usa,mostly free,website,medium traffic,low credibility
55,https://www.charismanews.com/,Charisma News,right conspiracy-pseudoscience,mixed,usa,mostly free,website,medium traffic,low credibility
56,https://childrenshealthdefense.org/,Children’s Health Defense,right conspiracy-pseudoscience,low,usa,,organization/foundation,medium traffic,low credibility
57,https://chlorellafactor.com/,ChlorellaFactor.com,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
58,https://carm.org,Christian Apologetics & Research Ministry (CARM),right conspiracy-pseudoscience,low,usa,mostly free,organization/foundation,medium traffic,low credibility
59,http://www1.cbn.com,Christian Broadcasting Network (CBN),right,mixed,usa,,tv station,high traffic,low credibility
60,https://creation.com,Creation Ministries International,right-pseudoscience,low,australia,mostly free,organization/foundation,medium traffic,low credibility
61,https://www.christianscience.com/,Christian Science,right-pseudoscience,low,usa,,organization/foundation,medium traffic,low credibility
62,https://www.legitgov.org/,Citizens for Legitimate Government (CLG News),right conspiracy-pseudoscience,mixed,usa,mostly free,organization/foundation,minimal traffic,low credibility
63,https://climatechangedispatch.com,Climate Change Dispatch,conspiracy-pseudoscience,low,usa,,website,minimal traffic,low credibility
64,https://www.climatedepot.com/,Climate Depot,right conspiracy-pseudoscience,mixed,usa,mostly free,organization/foundation,minimal traffic,low credibility
65,https://judithcurry.com/,Climate Etc – Judith Curry,pseudoscience,mixed,usa,,website,minimal traffic,low credibility
66,https://climatism.blog,Climatism,,low,australia,,,,
67,https://climate.news/,Climate.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
68,https://cnnsofake.news/,CNN So Fake News,right conspiracy-pseudoscience,very low,usa,mostly free,website,minimal traffic,low credibility
69,https://www.coasttocoastam.com/,Coast to Coast AM,conspiracy-pseudoscience,low,usa,mostly free,radio,medium traffic,low credibility
70,https://collapse.news/,Collapse.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
71,https://www.collective-evolution.com/,Collective-Evolution,conspiracy and pseudoscience,low,canada,,website,medium traffic,low credibility
72,https://www.cfact.org,Committee For A Constructive Tomorrow (CFACT),right conspiracy-pseudoscience,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
73,https://consciouslifenews.com/,Conscious Life News,left conspiracy-pseudoscience,mixed,usa,mostly free,website,minimal traffic,low credibility
74,https://conspiracydailyupdate.com,Conspiracy Daily Update,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
75,https://consumerwellness.org/,Consumer Wellness Center,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
76,https://cosmicintelligenceagency.com,Cosmic Intelligence Agency,conspiracy-pseudoscience,low,australia,,website,minimal traffic,low credibility
77,https://counterthink.com/,CounterThink.com,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
78,https://geopolitics.co,Covert Geopolitics,left-center,mixed,usa (45/180 press freedom),,website,minimal traffic,low credibility
79,http://creationwiki.org/Main_Page,CreationWiki,right conspiracy-pseudoscience,low,usa,,website,minimal traffic,low credibility
80,http://csglobe.com/,CS Globe,,low,unknown,,,,
81,https://curiousmindmagazine.com/,Curious Mind Magazine,pseudoscience,low,usa (44/180 press freedom),,website,medium traffic,low credibility
82,https://www.dailygrail.com,Daily Grail,,mixed,australia,,,,
83,https://dailyhealthpost.com,DailyHealthPost,,low,canada,,,,
84,https://dailyoccupation.com/,Daily Occupation,,low,unknown,,,,
85,https://dailysceptic.org/,Daily Sceptic,right pseudoscience,very low,united kingdom,mostly free,website,medium traffic,low credibility
86,https://www.darkjournalist.com,Dark Journalist,,low,usa,,,,
87,https://www.davidicke.com/,David Icke,,very low,united kingdom,,,,
88,https://www.davidwolfe.com/,David Wolfe,,mixed,usa,,,,
89,http://www.disclose.tv/,Disclose TV,conspiracy-pseudoscience,low,germany (13/180 press freedom),,website,medium traffic,low credibility
90,https://www.discovery.org/,Discovery Institute,,low,usa,,,,
91,https://disobedientmedia.com/,Disobedient Media,,mixed,usa,,,,
92,https://www.doctoroz.com/,DoctorOz.com,,mixed,usa,,,,
93,https://doctors4covidethics.org/,Doctors for Covid Ethics,pseudoscience,very low,switzerland,excellent,organization/foundation,minimal traffic,low credibility
94,https://draxe.com/,Dr. Axe,,mixed,usa,,,,
95,https://www.drnorthrup.com/,DrNorthrup.com,pseudoscience,low,usa,mostly free,website,minimal traffic,low credibility
96,https://earthpulse.com/,Earthpulse Press,conspiracy-pseudoscience,low,usa (44/180 press freedom),,website,minimal traffic,low credibility
97,https://www.ecology.news/,Ecology News,,very low,usa,,,,
98,https://educateinspirechange.org/us/,Educate Inspire Change,,mixed,united kingdom,,,,
99,http://educate-yourself.org/,Educate Yourself,,very low,usa,,,,
100,https://electroverse.net/,Electroverse,conspiracy- pseudoscience,low,unknown,,website,medium traffic,low credibility
101,https://eluxemagazine.com,Eluxe Magazine,left conspiracy-pseudoscience,mixed,united kingdom (33/180 press freedom),,magazine,medium traffic,low credibility
102,https://endtimeheadlines.org/,End Time Headlines,,low,usa,,,,
103,https://www.ewg.org/,Environmental Working Group (EWG),left-pseudoscience,mixed,usa (44/180 press freedom),,organization/foundation,medium traffic,low credibility
104,https://escapeallthesethings.com/,Escape All These Things,right-conspiracy,low,usa (44/180 press freedom),,website,minimal traffic,low credibility
105,https://eugenics.news/,Eugenics.News,right-conspiracy-pseudoscience,very-low,usa,mostly free,website,minimal traffic,low credibility
106,https://www.europereloaded.com/,Europe Reloaded,far-right conspiracy-pseudoscience,low,usa,mostly free,website,minimal traffic,low credibility
107,http://www.godandscience.org,Evidence for God from Science,,low,usa,,,,
108,https://evolutionnews.org/,Evolution News and Science Today,,low,usa,,,,
109,https://fabiosa.com/,Fabiosa,pseudoscience,mixed,ukraine,limited freedom,website,medium traffic,low credibility
110,https://faithit.com/,FaithIt,right conspiracy-pseudoscience,mixed,usa,mostly free,website,minimal traffic,low credibility
111,http://www.faithpanda.com,Faith Panda,,mixed,kenya,,,,
112,https://www.ff911truthandunity.org/,Firefighters for 9/11 Truth and Unity,,mixed,usa,,,,
113,https://foodbabe.com/,Food Babe,pseudoscience,mixed,usa (45/180 press freedom),,website,minimal traffic,low credibility
114,https://www.foodmatters.com,Food Matters,conspiracy-pseudoscience,mixed,australia (25/180 press freedom),,website,medium traffic,low credibility
115,https://food.news/,Food.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
116,https://foreverconscious.com,Forever Conscious,,low,unknown,,,,
117,https://thefreethoughtproject.com/,Free Thought Project,left-conspiracy/pseudoscience,low,usa (44/180 press freedom),,website,medium traffic,low credibility
118,https://www.freedomadvocates.org,Freedom Advocates: Agenda 21,,low,usa,,,,
119,https://freedomainradio.com/,Freedomain – Stephen Molyneux,alt-right conspiracy,low,canada (14/180 press freedom),,website,medium traffic,low credibility
120,https://freedom.news/,Freedom.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
121,https://freeworldnews.tv/,Freeworldnews.TV,right conspiracy- pseudoscience,very low,usa,mostly free,website,medium traffic,low credibility
122,https://friendsofscience.org/,Friends of Science,,mixed,canada,,,,
123,https://fromthetrenchesworldreport.com/,From the Trenches World Report,,low,usa,,,,
124,covid19criticalcare.com,Front Line Covid-19 Critical Care Alliance (FLCCC),right pseudoscience,low,usa,mostly free,organization/foundation,medium traffic,low credibility
125,https://www.gaia.com/,Gaia,conspiracy-pseudoscience,low,usa,,website,high traffic,low credibility
126,https://gender.news/,Gender.news,right-conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
127,https://geoengineering.news/,Geoengineering.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
128,http://www.geoengineeringwatch.org/,GeoEngineering Watch,,low,usa,,,,
129,https://www.getholistichealth.com/,Get Holistic Health,,low,unknown,,,,
130,https://glitch.news/,Glitch.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
131,https://www.globalhealingcenter.com,Global Healing Center,,mixed,usa,,,,
132,https://www.globalresearch.ca/,Global Research,conspiracy-pseudoscience,low,canada (16/180 press freedom),,website,medium traffic,low credibility
133,http://www.globalskywatch.com/,Global Skywatch,conspiracy-pseudoscience,low,usa (44/180 press freedom),,website,minimal traffic,low credibility
134,https://gmowatch.com,GMO Watch Bias,pseudoscience,mixed,usa,mostly free,website,minimal traffic,low credibility
135,https://gmwatch.org/,GMWatch,left conspiracy-pseudoscience,mixed,united kingdom (33/180 press freedom),,organization/foundation,minimal traffic,low credibility
136,https://www.godlikeproductions.com/,Godlike Productions,,low,unknown,,,,
137,https://goop.com/,Goop,pseudoscience,low,usa,mostly free,website,medium traffic,low credibility
138,https://www.gotquestions.org/,Got Questions (gotquestions.org),right-psuedoscience,low,usa (44/180 press freedom),,organization/foundation,high traffic,low credibility
139,https://govtslaves.com,Government Slaves,,low,usa,,,,
140,https://www.greenmedinfo.com/,GreenMedInfo,pseudoscience,low,usa,,website,medium traffic,low credibility
141,https://www.greenpeace.org/,Greenpeace,,mixed,netherlands,,,,
142,http://gulagbound.com/,Gulag Bound,,low,usa,,,,
143,http://www.haarp.net/,HAARP.net,,low,usa,,,,
144,https://healthandmoneynews.wordpress.com/,Health and Money News,,very low,usa,,,,
145,http://healingfoodreference.com/,Healing Food Reference,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
146,https://healingoracle.ch/,Healing Oracle,,very low,unknown,,,,
147,https://healthimpactnews.com/,Health Impact News,right conspiracy-pseudoscience,very low,usa,,website,medium traffic,low credibility
148,https://health.news/,Health.News,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
149,https://www.healthnutnews.com,Health Nut News,,very low,usa,,,,
150,https://healthrangerreport.com/,Health Ranger Report,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
151,https://hsionline.com/,Health Sciences Institute,,low,usa,,,,
152,https://www.healthyandnaturalworld.com/,Healthy and Natural World,pseudoscience,mixed,usa,mostly free,website,medium traffic,low credibility
153,https://www.healthyfoodhouse.com/,Healthy Food House,,low,macedonia,,,,
154,https://www.healthy-holistic-living.com,Healthy Holistic Living,pseudoscience,low,usa (44/180 press freedom),,website,medium traffic,low credibility
155,https://www.savethemales.ca/,Henry Makow (savethemales.ca),extreme right conspiracy,low,canada (14/180 press freedom),,website,minimal traffic,low credibility
156,https://herb.co/,Herb,pseudoscience,mixed,canada,mostly free,website,medium traffic,low credibility
157,http://herbreference.com/,Herbreference.com,right conspiracy-pseudoscience,very low,usa,,website,minimal traffic,low credibility
158,https://www.higherperspectives.com/,Higher Perspective,,mixed,unknown,,,,
159,https://www.higherperspectives.com/,Homeopathy Journal,,mixed,unknown,,,,
160,https://homevaccineeducationnetwork.com/,Home Vaccine Education Network,pseudoscience,very low,usa,,website,minimal traffic,low credibility
161,https://humansarefree.com/,Humans Are Free,right conspiracy-pseudoscience,low,usa (44/180 press freedom),,website,medium traffic,low credibility
162,https://www.iceagenow.info,Ice Age Now,,low,usa,,,,
163,https://www.ihealthtube.com,iHealthtube,,low,usa,,,,
164,https://iheartintelligence.com/,I Heart Intelligence,conspiracy-pseudoscience,mixed,bulgaria,moderate freedom,website,medium traffic,low credibility
